# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
3.147820809000000195e-03 1.818470796860789951e-15 -1.756896922779346459e-07 -3.943493658511570516e-07 -1.415573469246447465e-06 -1.813291242521142380e-06 -2.323516021599468360e-06 -2.996137115449992239e-06 -3.931387975650364034e-06
3.177800054999999936e-03 1.854239425185690005e-15 -1.805615402736547705e-07 -4.048798709195723870e-07 -1.450567770046914305e-06 -1.857164817497670124e-06 -2.379259731013247134e-06 -3.068023560990417430e-06 -4.026352302188568259e-06
3.207779301000000111e-03 1.890676929807569953e-15 -1.855352665668143963e-07 -4.155991689715453499e-07 -1.486089414328218683e-06 -1.901788227245977639e-06 -2.436079837608926776e-06 -3.141455793578721662e-06 -4.123339958048289642e-06
3.237758545999999855e-03 1.927795103719010173e-15 -1.906069586078728908e-07 -4.265016637675360049e-07 -1.522155429579512422e-06 -1.947195351577650572e-06 -2.494020324544230314e-06 -3.216477719039985247e-06 -4.222367310831440565e-06
3.267737792000000030e-03 1.965605937473739951e-15 -1.957725736926228925e-07 -4.375819145020817303e-07 -1.558785934054697382e-06 -1.993422190250667194e-06 -2.553125550886305944e-06 -3.293129827334907678e-06 -4.323448994169518857e-06
3.297717038000000205e-03 2.004121614675730066e-15 -2.010279360135702599e-07 -4.488346795871894000e-07 -1.596003831134490275e-06 -2.040506316781619375e-06 -2.613439636364167877e-06 -3.371448849318279073e-06 -4.426598535965549353e-06
3.327696283999999945e-03 2.043354519864849921e-15 -2.063687842783443146e-07 -4.602550259369732604e-07 -1.633834578426305114e-06 -2.088486466160983086e-06 -2.675006038795736523e-06 -3.451467767368647772e-06 -4.531829107982722741e-06
3.357675530000000120e-03 2.083317240285879842e-15 -2.117908783051276592e-07 -4.718385027779472335e-07 -1.672305997904985362e-06 -2.137402203228718072e-06 -2.737867245284630761e-06 -3.533216048950809823e-06 -4.639154249692646728e-06
3.387654774999999865e-03 2.124022567553880068e-15 -2.172901461741685383e-07 -4.835813502408797787e-07 -1.711448073940115344e-06 -2.187293603686457511e-06 -2.802064494468594702e-06 -3.616719976329655980e-06 -4.748588469014726665e-06
3.417634021000000039e-03 2.165483506185990048e-15 -2.228628360172395714e-07 -4.954806996837155006e-07 -1.751292696796775140e-06 -2.238200904655715642e-06 -2.867637490595329611e-06 -3.702003006047022592e-06 -4.860147714277203741e-06
